類型,廠牌名稱,工程階段,材料類別,材料名稱,單位,材料價格,材料性質,組成材質,空間內外,適用空間,最後編輯時間,官網連結,建模尺寸
土建類,三洋窯業股份有限公司,裝修工程,磁磚,【山海岩】,平方公尺,1200,裝修,岩石材,無分類,"地面, 壁面, 天花板面",2024年4月23日 下午6:01,https://stg.com.tw/portfolio-item/%E5%B1%B1%E6%B5%B7%E5%B2%A9/#av-tab-section-1-3-link,200*100*10
土建類,大同鋁業股份有限公司,帷幕工程,帷幕,【窗STG-70、STG-100】,樘,2400,帷幕,複合材,室外,壁面,2024年4月24日 上午10:35,http://www.stta.com.tw/nl-rt/products.html,200*100*11
土建類,大同鋁業股份有限公司,門窗工程,門窗,【帷幕NL-RT】,樘,2000,裝修,複合材,無分類,壁面,2024年4月24日 上午10:29,http://www.stta.com.tw/products.html,200*100*12
土建類,中音科技國際有限公司,裝修工程,水泥纖維板,【吉品矽天花】,平方公尺,1800,裝修,合成材,室內,"壁面, 天花板面",2024年4月23日 下午6:01,https://www.homemesh.com.tw/item/51911/0,200*100*13
土建類,元群建材工業股份有限公司,門窗工程,鐵捲門,【SK61S(A) 全材質鋼板-捲式F60A+S阻熱防火+遮煙捲門 (F60A+S)--可有小門】,樘,1000,"採光, 裝修, 通風",金屬材,無分類,壁面,2024年8月7日 下午2:13,https://ycco.com.tw/page_articles_product.php?id=271,200*100*14
土建類,世合世展業有限公司,門窗工程,門窗,【一體式窗框】,樘,3000,裝修,複合材,無分類,壁面,2024年4月23日 下午6:02,http://www.shiheshi.com/product_detail.aspx?id=9,200*100*15
土建類,可立穩工程股份有限公司,裝修工程,庫板,【PIR連續式冷凍庫板】,平方公尺,2360,裝修,複合材,無分類,"壁面, 天花板面",2024年4月24日 上午10:44,https://www.cleanwin.com.tw/firecompartment-23.html,200*100*16
土建類,台達化學工業股份有限公司,裝修工程,玻璃棉,【玻璃棉】,平方公尺,2491,填塞,纖維材,室內,"壁面, 天花板面",2024年4月24日 上午11:06,https://www.ttc.com.tw/zh-tw/dirProduct/frmProduct5.aspx,200*100*17
土建類,台灣水泥股份有限公司,結構工程,混凝土,【低碳混凝土】,立方公尺,2623,結構,混凝土,無分類,無分類,2024年4月23日 下午5:53,https://www.taiwancement.com/tw/lowCarbonProduct.html,200*100*18
土建類,台灣玻璃工業股份有限公司,門窗工程,玻璃,【平板玻璃】,平方公尺,2754,裝修,玻璃材,無分類,無分類,2024年4月23日 下午5:53,http://www.taiwanglass.com/product_list.php?sid=324,200*100*19
土建類,台灣富美家股份有限公司,裝修工程,木地板,【8849 天然柚木(直)】,平方公尺,2886,裝修,木素材,室內,地面,2024年4月24日 上午11:56,https://www.formica.com/zh-tw/products/fmascpfr1/8849https://www.formica.com/zh-tw/products/fmascpfr1/8849https://www.formica.com/zh-tw/products/fmascpfr1/8849,200*100*20
土建類,永逢企業有限公司,裝修工程,文化石,【舒活防潮環保板OSB板】,平方公尺,3017,裝修,岩石材,室內,壁面,2024年4月24日 上午11:56,https://www.efcl.com.tw/ec99/rwd1230/product.asp?prodid=CB12&category_id=9,200*100*21
土建類,永逢企業有限公司,裝修工程,鏡面飾材,【超薄岩板】,平方公尺,3149,裝修,複合材,室內,壁面,2024年4月24日 上午11:59,https://www.efcl.com.tw/ec99/rwd1230/product.asp?prodid=DD02&category_id=6,200*100*22
土建類,永逢企業有限公司,裝修工程,岩板,【水泥板】,平方公尺,3280,裝修,岩石材,室內,壁面,2024年4月24日 上午11:27,https://www.efcl.com.tw/ec99/rwd1230/product.asp?prodid=BB02-05&category_id=203,200*100*23
土建類,永逢企業有限公司,裝修工程,水泥板,【神戶潔淨外牆板(窯業系)】,平方公尺,3411,裝修,水泥材,室內,"地面, 壁面",2024年4月24日 上午11:49,https://www.efcl.com.tw/ec99/rwd1230/product.asp?prodid=da46&category_id=197,200*100*24
土建類,永逢企業有限公司,裝修工程,纖維板,【好樂地輕質文化石】,平方公尺,2450,裝修,複合材,室內,"壁面, 天花板面",2024年4月24日 上午11:23,https://www.efcl.com.tw/ec99/rwd1230/product.asp?prodid=EB01&category_id=9,200*100*25
土建類,永逢企業有限公司,裝修工程,玻璃纖維板,【日本鏡面裝飾板】,平方公尺,1870,裝修,複合材,室內,壁面,2024年4月23日 下午5:54,https://www.efcl.com.tw/ec99/rwd1230/product.asp?prodid=CB10&category_id=203,200*100*26
土建類,皮爾卡登磁磚,裝修工程,磁磚,【拉米 ｜ 30×60cm、30×30cm (修邊磚)】,平方公尺,1780,裝修,陶瓷製品,無分類,"地面, 壁面, 天花板面",2024年4月24日 上午10:15,https://www.pierrecardin-ceramics.com.tw/series/stone/%E6%8B%89%E7%B1%B3-%EF%BD%9C-30%C3%9760cm%E3%80%8130%C3%9730cm-(%E4%BF%AE%E9%82%8A%E7%A3%9A)-21.htmlhttps://www.pierrecardin-ceramics.com.tw/series/stone/%E6%8B%89%E7%B1%B3-%EF%BD%9C-30%C3%9760cm%E3%80%8130%C3%9730cm-(%E4%BF%AE%E9%82%8A%E7%A3%9A)-21.htmlhttps://www.pierrecardin-ceramics.com.tw/series/stone/%E6%8B%89%E7%B1%B3-%EF%BD%9C-30%C3%9760cm%E3%80%8130%C3%9730cm-(%E4%BF%AE%E9%82%8A%E7%A3%9A)-21.html,200*100*27
土建類,安隆股份有限公司,裝修工程,矽酸鈣板,【日建矽酸鈣板】,平方公尺,2300,裝修,合成材,室內,"壁面, 天花板面",2024年4月23日 下午5:54,https://www.tck.tw/product/19,200*100*28
土建類,百信建材股份有限公司,裝修工程,輕隔間板,【LIVING 柯比】,平方公尺,2413,裝修,合成材,室內,壁面,2024年4月23日 下午5:54,https://www.paishin.com.tw/portfolio-item/living-%e6%9f%af%e6%af%94/,200*100*29
土建類,良全預拌混凝土股份有限公司,結構工程,混凝土,【自充填混凝土】,立方公尺,2628,結構,混凝土,無分類,無分類,2024年4月23日 下午5:54,https://www.taiwancement.com/tw/lowCarbonProduct.html,200*100*30
土建類,亞洲水泥股份有限公司,結構工程,混凝土,【混凝土】,立方公尺,2843,結構,混凝土,無分類,無分類,2024年4月23日 下午5:54,https://www.acc.com.tw/sales-services/product-introduction,200*100*31
土建類,易利隆鋼鐵有限公司,結構工程,H型鋼,【H型鋼】,公斤,3058,結構,金屬材,無分類,"地面, 壁面, 天花板面, 屋頂面",2024年4月23日 下午5:54,http://www.elilong.com.tw/pro2.html,200*100*32
土建類,邰偉工業股份有限公司,外牆工程,PC耐力版,【PC耐力版】,平方公尺,3273,帷幕,高分子材,室外,屋頂面,2024年4月23日 下午5:54,https://pcsheet.com.tw/?page_id=1153,200*100*33
土建類,保旺事業股份有限公司,"外牆工程, 屋頂工程",鋼浪板,【PVC塑鋼浪板】,公斤,3488,帷幕,金屬材,室外,"壁面, 屋頂面",2024年4月23日 下午5:54,http://www.prowang.com.tw/ch_product_view.asp?FkindNo=F000378&pidno=200703220002,200*100*34
土建類,冠閤企業股份有限公司,結構工程,薄膜結構,【PTFE玻璃纖維布膜】,平方公尺,3703,結構,高分子材,室外,無分類,2024年4月23日 下午5:54,https://www.fit-glassfiber.com.tw/ptfe-cloth-membrane.htm,200*100*35
土建類,前德實業股份有限公司,"外牆工程, 裝修工程",水泥中空版,【CT擠出成型輕質中空水泥板】,平方公尺,800,裝修,水泥材,無分類,無分類,2024年4月23日 下午5:54,https://www.chentek.url.tw/hot.html,200*100*36
土建類,南亞塑膠工業股份有限公司,空調工程,鋼板樁,【三明治板】,公尺,200,開挖擋土,金屬材,室外,壁面,2024年4月23日 下午5:54,https://www.npc.com.tw/j2npc/zhtw/prod/Plastic/Outdoor-Decoration-Materials/Plastic%20Piling,200*100*37
土建類,虹牌油漆_永記造漆工業股份有限公司,裝修工程,油漆,【458 全效乳膠漆】,平方公尺,600,裝修,高分子材,室內,"壁面, 天花板面",2024年4月24日 上午10:15,https://www.rainbowpaint.com.tw/products/architecture-coatings/45af865e-68f2-4d11-9ded-574002fa9aa4/450-flat-emulsion-paints-general-series,200*100*38
土建類,虹牌油漆_永記造漆工業股份有限公司,裝修工程,油漆,【450 水性水泥漆 (平光)】,平方公尺,1200,裝修,高分子材,室內,"壁面, 天花板面",2024年4月24日 上午11:21,https://www.rainbowpaint.com.tw/products/architecture-coatings/45af865e-68f2-4d11-9ded-574002fa9aa4/458https://www.rainbowpaint.com.tw/products/architecture-coatings/45af865e-68f2-4d11-9ded-574002fa9aa4/458https://www.rainbowpaint.com.tw/products/architecture-coatings/45af865e-68f2-4d11-9ded-574002fa9aa4/458,200*100*39
土建類,倡鐵實業有限公司,裝修工程,格柵天花板,【條狀鏤空鋁天花】,平方公尺,1100,裝修,金屬材,室內,天花板面,2024年4月23日 下午5:54,https://www.chante.com.tw/Product-Item_55066.html,200*100*40
土建類,國宇建材股份有限公司,裝修工程,輕隔間磚,【國宇ALC輕質磚】,平方公尺,1260,裝修,磚材,室內,壁面,2024年4月23日 下午5:54,http://www.goyu.com.tw/info,200*100*41
土建類,國產建材實業股份有限公司,結構工程,混凝土,【混凝土】,立方公尺,1420,結構,混凝土,無分類,無分類,2024年4月23日 下午5:54,https://www.gdc.com.tw/zh-TW/products.php,200*100*42
土建類,國際電木板企業有限公司,裝修工程,塑膠天花板,【塑膠天花板】,平方公尺,1580,裝修,高分子材,室內,天花板面,2024年4月23日 下午5:54,https://www.npc.com.tw/j2npc/zhtw/prod/Plastic/Interior-decoration-materials/PVC%20Ceiling%20Boards,200*100*43
土建類,崧賀實業股份有限公司,裝修工程,玻璃纖維板,【玻璃纖維天花板】,公尺,1740,裝修,複合材,室內,天花板面,2024年4月23日 下午5:54,https://www.rockunion.com.tw/product.php?_path=product_detail&id=30,200*100*44
土建類,捷雅工程有限公司,裝修工程,庫板,【無塵室庫板】,平方公尺,1900,裝修,複合材,室內,壁面,2024年4月23日 下午5:54,https://www.jier-yaa.com/page/about/index.aspx?kind=42&lang=TW,200*100*45
土建類,勝昌欣業股份有限公司,裝修工程,輕隔間磚,【輕質隔間磚】,平方公尺,2060,裝修,磚材,室內,壁面,2024年4月23日 下午5:54,http://www.qingge.com.tw/%e8%bc%95%e8%b3%aa%e9%9a%94%e9%96%93%e7%a3%9a/,200*100*46
土建類,喬利鋼鐵工業股份有限公司,外牆工程,三明治板,【浪板】,平方公尺,2220,"帷幕, 裝修",金屬材,室外,無分類,2024年4月23日 下午5:55,https://corporate-office-32823.business.site/,200*100*47
土建類,喬利鋼鐵工業股份有限公司,外牆工程,浪板,【三明治板】,平方公尺,2380,"帷幕, 裝修",金屬材,室外,無分類,2024年4月23日 下午5:55,https://corporate-office-32823.business.site/,200*100*48
土建類,嵐多利鋁業有限公司,門窗工程,門窗,【YRB-A70/100 超高水密窗】,樘,2540,裝修,複合材,無分類,壁面,2024年4月23日 下午5:55,https://www.ldl.com.tw/Page/Product/ProductDetail.aspx?ProductCategoryNo=134&ProductNo=270,200*100*49
土建類,進詠實業股份有限公司,裝修工程,壁紙,【層次水泥牆】,平方公尺,2700,裝修,複合材,室內,壁面,2024年4月23日 下午5:55,https://www.freeprinterior.com/product/%e5%b1%a4%e6%ac%a1%e6%b0%b4%e6%b3%a5%e7%89%86/,200*100*50
土建類,新屋力懋鋁業股份有限公司,門窗工程,門窗,【力霸精美氣密隔音門窗】,公斤,2860,裝修,複合材,無分類,壁面,2024年4月23日 下午5:55,https://www.rebar.com.tw/general/index.php?action=product_detail&pt_id=16&p_id=30,200*100*51
土建類,新屋力懋鋁業股份有限公司,門窗工程,門窗,【力霸精美氣密隔音門窗】,公斤,3020,裝修,複合材,無分類,壁面,2024年4月23日 下午5:55,https://www.rebar.com.tw/general/index.php?action=product_detail&pt_id=2&p_id=32,200*100*52
土建類,新屋力懋鋁業股份有限公司,門窗工程,格柵,【力霸高級三合一通風門】,公斤,3180,帷幕,金屬材,室外,壁面,2024年4月23日 下午5:55,https://www.rebar.com.tw/general/index.php?action=product_detail&pt_id=18&p_id=41,200*100*53
土建類,嘉懋企業股份有限公司,結構工程,鋼承鈑,【鋼承鈑TAFU-555-65H】,公斤,3340,結構,金屬材,室內,地面,2024年4月23日 下午5:55,http://jmharddeck.com/productionDtl.aspx?name=production1#contentTop,200*100*54
土建類,漢樺企業股份有限公司,裝修工程,磨石子地磚,【薈萃-磨石磚】,平方公尺,3500,裝修,複合材,室內,地面,2024年4月23日 下午5:55,https://www.anword.com.tw/component/sppagebuilder/?view=page&id=1215,200*100*55
土建類,維勝鋼鐵股份有限公司,結構工程,H型鋼,【H型鋼】,公尺,3660,結構,金屬材,室外,"地面, 壁面, 天花板面, 屋頂面",2024年4月23日 下午5:55,https://www.ws-steel.com/services-products.html,200*100*56
土建類,遠東鈦金科技股份有限公司,結構工程,鈦板,【不鏽鋼鍍鈦板／鈦金板】,平方公尺,3820,"帷幕, 裝修",金屬材,無分類,無分類,2024年4月23日 下午5:55,http://www.tiking.com.tw/article.asp?id=4,200*100*57
土建類,甌達傢飾有限公司,裝修工程,壁紙,【TOWADA FIL】,平方公尺,3980,裝修,複合材,室內,壁面,2024年4月23日 下午5:55,https://odcorp.com.tw/product/towada-fil/,200*100*58
土建類,諾司實業股份有限公司,天花板工程,格柵天花板,【鋁擠型格柵天花板】,平方公尺,4140,裝修,金屬材,室內,天花板面,2024年4月23日 下午5:55,https://north-eng.com.tw/products/cleanroom/product1,200*100*59
土建類,環球水泥股份有限公司,裝修工程,石膏板,【普通石膏板】,平方公尺,4300,裝修,複合材,室內,"壁面, 天花板面",2024年4月23日 下午5:55,http://www.ucctw.com/m/412-1518-11232.php?Lang=zh-tw,200*100*60
土建類,環球水泥股份有限公司,裝修工程,石膏板,【強化(防潮＋鋁箔)石膏板】,平方公尺,4460,裝修,複合材,室內,"壁面, 天花板面",2024年4月23日 下午5:55,http://www.ucctw.com/m/412-1518-11225.php?Lang=zh-tw,200*100*61
土建類,環球水泥股份有限公司,裝修工程,石膏板,【防潮石膏板】,平方公尺,4620,裝修,合成材,室內,"壁面, 天花板面",2024年4月24日 上午10:17,http://www.ucctw.com/m/412-1518-11223.php?Lang=zh-tw,200*100*62
土建類,寶鼎企業有限公司,門窗工程,門窗,【60A+A 捲門+彈射門】,樘,4780,裝修,複合材,無分類,壁面,2024年4月23日 下午5:55,https://www.bow-ding.com.tw/products/info.php?id=37128&title_id=#page,200*100*63
土建類,鑫強國際工業有限公司,結構工程,鋼筋續接器,【錐牙摩擦熔接型(二件式)】,只,4940,結構,金屬材,無分類,無分類,2024年4月23日 下午5:55,https://www.hk6756.com/products_detail/38.htm,200*100*64
土建類,DASHENG大盛捲門窗,門窗工程,鐵捲門,【大盛防颱景衛捲門】,樘,5100,"採光, 裝修, 通風",金屬材,無分類,壁面,2024年4月24日 下午4:22,https://www.dashengshutter.com/double-louvers/,200*100*65
土建類,DASHENG大盛捲門窗,門窗工程,鐵捲門,【大盛防颱羅拉捲門】,樘,5260,"採光, 裝修, 通風",金屬材,無分類,壁面,2024年4月24日 下午4:28,https://www.dashengshutter.com/quick-roll-door/,200*100*66
土建類,DASHENG大盛捲門窗,門窗工程,鐵捲門,【大盛防颱戶外升降百葉捲窗】,樘,5420,"採光, 裝修, 通風",金屬材,無分類,壁面,2024年4月24日 下午4:26,https://www.dashengshutter.com/window/,200*100*67
土建類,DASHENG大盛捲門窗,門窗工程,鐵捲門,【大盛防颱捲窗】,樘,5580,"採光, 裝修, 通風",金屬材,無分類,壁面,2024年4月24日 下午9:23,https://www.dashengshutter.com/%e5%a4%a7%e7%9b%9b%e9%98%b2%e9%a2%b1%e6%99%af%e8%a1%9b%e6%8d%b2%e9%96%80%e6%96%bd%e5%b7%a5%e5%9c%96%e8%aa%aa/,200*100*68
土建類,RD安進捲門,門窗工程,鐵捲門,【鋁合金捲門】,樘,5740,裝修,金屬材,無分類,壁面,2024年4月24日 下午4:17,https://www.rd.com.tw/product/pro_door/item?pid=1,200*100*69
土建類,semi太格地材,地坪工程,木地板,【PVC複合卷材地板】,平方公尺,5900,裝修,複合材,室內,地面,2024年4月24日 下午4:15,https://www.semiflor.com.tw/tw/product/category/lx_hausys_heterogeneous_sheet,200*100*70
土建類,YCND耐盾捲窗,門窗工程,鐵捲門,【YCND 耐盾加裝式全能捲窗】,樘,6060,"採光, 裝修, 通風",金屬材,無分類,壁面,2024年4月24日 下午4:25,http://ycnd.com.tw/portfolio-item/%e8%80%90%e7%9b%be%e6%8d%b2%e9%96%80/,200*100*71
土建類,YCND耐盾捲窗,門窗工程,鐵捲窗,【YCND 耐盾全能捲門】,樘,6220,"採光, 裝修, 通風",金屬材,無分類,壁面,2024年4月24日 下午4:14,http://ycnd.com.tw/portfolio-item/%e5%a4%96%e6%8e%9b%e5%bc%8f/,200*100*72
